iter	Passed	Remaining
758	3107	986
759	3114	983
760	3117	979
761	3165	988
762	3169	984
763	3171	979
764	3175	975
765	3178	970
766	3182	966
767	3184	961
768	3249	976
769	3252	971
770	3254	966
771	3260	962
772	3262	958
773	3264	953
774	3267	948
775	3269	943
776	3273	939
777	3284	937
778	3288	932
779	3291	928
780	3293	923
781	3340	931
782	3342	926
783	3345	921
784	3347	916
785	3349	911
786	3353	907
787	3356	902
788	3358	898
789	3364	894
790	3369	890
791	3371	885
792	3373	880
793	3445	893
794	3447	889
795	3451	884
796	3454	879
797	3456	874
798	3458	870
799	3460	865
800	3462	860
801	3464	855
802	3467	850
803	3470	845
804	3472	841
805	3475	836
806	3491	835
807	3495	830
808	3499	826
809	3501	821
810	3516	819
811	3518	814
812	3520	809
813	3523	805
814	3525	800
815	3527	795
816	3532	791
817	3534	786
818	3536	781
819	3538	776
820	3556	775
821	3558	770
822	3560	765
823	3563	761
824	3565	756
825	3567	751
826	3570	746
827	3573	742
828	3577	737
829	3580	733
830	3582	728
831	3585	723
832	3589	719
833	3593	715
834	3600	711
835	3602	706
836	3608	702
837	3611	698
838	3613	693
839	3615	688
840	3617	684
841	3620	679
842	3626	675
843	3628	670
844	3632	666
845	3634	661
846	3635	656
847	3639	652
848	3642	647
849	3645	643
850	3647	638
851	3649	633
852	3651	629
853	3655	624
854	3656	620
855	3659	615
856	3662	611
857	3664	606
858	3669	602
859	3672	597
860	3674	593
861	3676	588
862	3679	584
863	3681	579
864	3683	574
865	3686	570
866	3688	565
867	3690	561
868	3692	556
869	3693	551
870	3695	547
871	3699	543
872	3703	538
873	3705	534
874	3707	529
875	3708	525
876	3710	520
877	3712	515
878	3715	511
879	3717	506
880	3719	502
881	3721	497
882	3723	493
883	3726	488
884	3731	484
885	3733	480
886	3735	475
887	3737	471
888	3739	466
889	3740	462
890	3742	457
891	3745	453
892	3746	448
893	3748	444
894	3750	440
895	3752	435
896	3754	431
897	3758	426
898	3760	422
899	3763	418
900	3765	413
901	3767	409
902	3769	404
903	3771	400
904	3774	396
905	3777	391
906	3780	387
907	3782	383
908	3784	378
909	3789	374
910	3790	370
911	3792	365
912	3794	361
913	3796	357
914	3798	352
915	3800	348
916	3803	344
917	3805	339
918	3807	335
919	3811	331
920	3813	327
921	3818	323
922	3821	318
923	3823	314
924	3825	310
925	3827	305
926	3830	301
927	3833	297
928	3835	293
929	3837	288
930	3839	284
931	3842	280
932	3845	276
933	3848	271
934	3850	267
935	3852	263
936	3854	259
937	3856	254
938	3857	250
939	3859	246
940	3861	242
941	3864	237
942	3866	233
943	3871	229
944	3873	225
945	3879	221
946	3884	217
947	3888	213
948	3894	209
949	3897	205
950	3911	201
951	3940	198
952	3943	194
953	3999	192
954	4007	188
955	4010	184
956	4013	180
957	4038	177
958	4043	172
959	4046	168
960	4050	164
961	4065	160
962	4068	156
963	4070	152
964	4073	147
965	4075	143
966	4078	139
967	4082	134
968	4085	130
969	4087	126
970	4091	122
971	4142	119
972	4146	115
973	4150	110
974	4153	106
975	4156	102
976	4158	97
977	4162	93
978	4166	89
979	4168	85
980	4171	80
981	4174	76
982	4196	72
983	4198	68
984	4201	63
985	4204	59
986	4206	55
987	4211	51
988	4213	46
989	4216	42
990	4219	38
991	4221	34
992	4226	29
993	4228	25
994	4231	21
995	4239	17
996	4246	12
997	4248	8
998	4253	4
999	4256	0
